TIME(MS),COMMAND,VALUE
 052650 ,6      ,1
 052650 ,7      ,0
 052650 ,8      ,0
 052700 ,1      ,0
 052800 ,1      ,1
 052800 ,6      ,0
 052800 ,7      ,1
 052800 ,8      ,1
 053050 ,7      ,0
 053200 ,6      ,1
 053300 ,1      ,0
 053300 ,2      ,1
 053500 ,6      ,0
 053500 ,8      ,0
 053650 ,6      ,1
 053650 ,8      ,1
 053700 ,2      ,0
 053700 ,3      ,1
 054100 ,3      ,0
 054100 ,5      ,1
 054100 ,6      ,0
 054150 ,4      ,1
 054150 ,7      ,1
 054200 ,3      ,1
 054200 ,6      ,1
 054250 ,2      ,1
 054250 ,5      ,0
 054300 ,1      ,1
 054300 ,4      ,0
 054350 ,3      ,0
 054350 ,6      ,0
 054350 ,7      ,0
 054350 ,8      ,0
 054400 ,2      ,0
 054450 ,1      ,0
 054550 ,1      ,1
 054550 ,6      ,1
 054600 ,2      ,1
 054600 ,7      ,1
 054650 ,3      ,1
 054650 ,8      ,1
 054700 ,4      ,1
 054750 ,5      ,1
 054750 ,6      ,0
 054750 ,7      ,0
 054750 ,8      ,0
 054950 ,5      ,0
 054950 ,6      ,1
 054950 ,7      ,1
 054950 ,8      ,1
 055000 ,4      ,0
 055050 ,3      ,0
 055100 ,2      ,0
 055100 ,5      ,1
 055150 ,1      ,0
 055150 ,4      ,1
 055200 ,3      ,1
 055200 ,6      ,0
 055200 ,7      ,0
 055200 ,8      ,0
 055250 ,2      ,1
 055300 ,1      ,1
 055350 ,4      ,0
 055350 ,6      ,1
 055350 ,7      ,1
 055400 ,2      ,0
 055500 ,4      ,1
 055500 ,5      ,0
 055550 ,1      ,0
 055550 ,2      ,1
 055550 ,3      ,0
 055600 ,1      ,1
 055600 ,5      ,1
 055650 ,1      ,0
 055650 ,3      ,1
 055650 ,6      ,0
 055650 ,8      ,1
 055700 ,1      ,1
 055700 ,2      ,0
 055700 ,5      ,0
 055700 ,7      ,0
 055750 ,1      ,0
 055750 ,3      ,0
 055750 ,6      ,1
 055750 ,7      ,1
 055750 ,8      ,0
 055850 ,7      ,0
 055850 ,8      ,1
 055900 ,3      ,1
 055900 ,4      ,0
 055900 ,7      ,1
 055950 ,6      ,0
 056050 ,3      ,0
 056050 ,4      ,1
 056050 ,6      ,1
 056050 ,7      ,0
 056100 ,7      ,1
 056100 ,8      ,0
